                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.73169,                0.89712,                0.41643,                0.85507,                0.90789,                0.85764,                0.91719,                0.66984,                0.81308,                0.74916,                 0.7968,                 0.4716,                0.89813,                 1.1101,                 0.5138,                0.83952,              0.0005446,              0.0005446,              0.0005446
                     48,                0.73153,                0.90078,                0.41845,                0.85277,                0.89378,                0.87475,                0.92174,                0.67463,                 0.8097,                0.75195,                0.79448,                0.47129,                0.88269,                 1.0729,                0.53721,                0.83648,              0.0005347,              0.0005347,              0.0005347
                     49,                0.72443,                0.88771,                0.41436,                0.84987,                0.90117,                0.86089,                0.92096,                0.67603,                0.79447,                0.73028,                 0.7786,                0.45339,                0.89772,                 1.0855,                0.50627,                0.84074,              0.0005248,              0.0005248,              0.0005248
                     50,                0.72626,                 0.8837,                0.41376,                0.85572,                0.89606,                0.87391,                0.92027,                0.67858,                0.76966,                0.74328,                0.77331,                 0.4572,                0.87833,                 1.0737,                0.51426,                0.83677,              0.0005149,              0.0005149,              0.0005149
                     51,                0.72488,                0.90056,                0.41143,                0.84756,                0.89219,                0.86817,                0.91936,                0.67507,                0.79678,                0.75486,                 0.7894,                0.47331,                 0.8812,                 1.0762,                0.51921,                0.84221,               0.000505,               0.000505,               0.000505
                     52,                0.71345,                0.87288,                0.40348,                0.85145,                0.89467,                0.88107,                0.92208,                0.67449,                0.77368,                0.74028,                0.76671,                0.44509,                0.88476,                 1.1044,                0.51036,                0.84136,              0.0004951,              0.0004951,              0.0004951
                     53,                0.70277,                0.87424,                0.39778,                0.84537,                0.88302,                0.88273,                 0.9206,                0.67538,                0.78167,                0.75135,                 0.7836,                0.45897,                0.87697,                 1.0674,                0.50882,                0.84188,              0.0004852,              0.0004852,              0.0004852
                     54,                0.71387,                0.87129,                0.40135,                0.84593,                0.87806,                0.89181,                0.92273,                0.68235,                0.77493,                0.76867,                0.79763,                0.47183,                 0.8573,                 1.0337,                0.50858,                0.83877,              0.0004753,              0.0004753,              0.0004753
                     55,                0.71571,                0.87441,                0.40686,                0.85218,                0.89827,                0.87506,                0.92216,                0.67749,                0.79182,                 0.7492,                0.78362,                0.46233,                0.85991,                 1.0644,                0.51066,                0.83532,              0.0004654,              0.0004654,              0.0004654
                     56,                0.69724,                0.87176,                0.39796,                 0.8432,                0.88644,                0.87538,                0.91877,                0.67584,                0.79607,                0.75497,                0.79545,                0.46717,                  0.876,                 1.0945,                0.50509,                0.83653,              0.0004555,              0.0004555,              0.0004555
                     57,                0.69596,                0.86742,                0.39932,                 0.8447,                0.89376,                0.87867,                0.92415,                0.68019,                0.78364,                0.76006,                0.79233,                0.47249,                0.85428,                 1.0397,                0.51436,                 0.8358,              0.0004456,              0.0004456,              0.0004456
                     58,                0.69799,                0.86142,                0.39368,                0.84854,                0.89607,                0.87607,                0.92293,                0.68348,                0.79637,                0.75703,                0.79695,                0.46356,                0.87353,                 1.0808,                0.50045,                0.83735,              0.0004357,              0.0004357,              0.0004357
                     59,                 0.6972,                0.86015,                0.39322,                0.84321,                0.88362,                0.88645,                0.92125,                0.67806,                0.77244,                 0.7753,                 0.7917,                0.46822,                0.87319,                 1.0491,                0.50327,                0.83904,              0.0004258,              0.0004258,              0.0004258
                     60,                0.69277,                0.85749,                0.39269,                 0.8415,                0.89899,                0.86868,                0.92204,                0.68241,                0.79108,                0.75286,                0.79168,                0.46416,                0.85698,                 1.0817,                0.49933,                0.83939,              0.0004159,              0.0004159,              0.0004159
                     61,                0.69076,                0.83713,                0.40115,                0.84056,                 0.9029,                0.87286,                0.92568,                0.68232,                 0.7833,                0.76192,                0.79242,                0.46302,                0.86732,                 1.0694,                0.48612,                0.83946,               0.000406,               0.000406,               0.000406
                     62,                0.69269,                0.86432,                0.39711,                0.84582,                0.89929,                0.87431,                0.92419,                0.68224,                0.79501,                0.76476,                0.79813,                0.47137,                0.85973,                 1.0606,                 0.5033,                0.83738,              0.0003961,              0.0003961,              0.0003961
                     63,                0.69589,                0.85664,                0.39243,                0.84123,                0.86979,                0.89049,                0.92207,                0.68323,                0.79455,                0.74008,                0.79429,                0.47539,                0.87027,                 1.0579,                0.49443,                0.84067,              0.0003862,              0.0003862,              0.0003862
                     64,                0.68306,                0.83252,                0.38614,                0.84331,                0.89071,                 0.8889,                0.92415,                0.68455,                0.79144,                0.74967,                0.78838,                0.45765,                0.86455,                 1.0922,                0.49081,                0.84129,              0.0003763,              0.0003763,              0.0003763
                     65,                0.68036,                0.84593,                 0.3862,                0.84394,                0.91539,                0.85519,                0.92453,                0.68558,                0.81222,                0.74811,                0.80208,                0.47471,                0.85963,                 1.0599,                0.48586,                0.83747,              0.0003664,              0.0003664,              0.0003664
                     66,                0.68117,                0.84844,                0.39422,                0.83957,                0.90433,                0.86815,                 0.9246,                0.68667,                0.79433,                0.76517,                0.80257,                0.47103,                0.85579,                 1.0962,                 0.4957,                0.83914,              0.0003565,              0.0003565,              0.0003565
                     67,                0.68135,                0.84151,                0.38585,                0.83921,                0.89234,                0.88966,                0.92614,                0.68715,                0.77915,                0.77724,                0.79798,                0.47328,                0.84468,                  1.043,                0.48975,                0.83537,              0.0003466,              0.0003466,              0.0003466
                     68,                0.67294,                0.82705,                0.37763,                0.84528,                0.88645,                 0.8995,                 0.9278,                 0.6857,                0.78373,                0.76127,                0.79518,                0.46823,                 0.8564,                 1.0295,                0.48583,                0.83768,              0.0003367,              0.0003367,              0.0003367
                     69,                0.67397,                0.85029,                0.37898,                0.83993,                0.89728,                0.87169,                0.92529,                0.69082,                0.77435,                0.75653,                0.78272,                0.46336,                0.83045,                 1.0484,                0.47989,                0.83654,              0.0003268,              0.0003268,              0.0003268
                     70,                0.67302,                0.83347,                0.37987,                0.84248,                0.88523,                0.88947,                0.92593,                0.68975,                0.80045,                0.75064,                0.79699,                0.46988,                0.84895,                 1.0909,                0.48557,                0.83656,              0.0003169,              0.0003169,              0.0003169
                     71,                0.67368,                0.83991,                0.37735,                0.83751,                0.89366,                0.87869,                0.92645,                0.69532,                0.79965,                0.74802,                0.79623,                0.46761,                0.82928,                 1.0479,                0.48621,                0.83404,               0.000307,               0.000307,               0.000307
                     72,                0.66989,                0.82942,                0.38098,                0.83933,                0.89203,                0.88281,                  0.925,                0.69362,                0.80137,                0.76848,                0.81245,                0.48149,                 0.8269,                  1.033,                0.47938,                0.83447,              0.0002971,              0.0002971,              0.0002971
                     73,                 0.6639,                0.80844,                0.37324,                0.83437,                0.89183,                0.87841,                0.92599,                0.69493,                0.78505,                0.76133,                0.80304,                0.47283,                0.83453,                 1.0368,                0.47586,                0.83592,              0.0002872,              0.0002872,              0.0002872
                     74,                0.65423,                0.80168,                0.37177,                0.83867,                 0.9066,                0.85638,                0.92629,                0.69432,                 0.7958,                0.74835,                0.79978,                0.46771,                0.84255,                 1.0623,                0.47154,                0.83894,              0.0002773,              0.0002773,              0.0002773
                     75,                0.64729,                0.80333,                0.37141,                0.83857,                0.89869,                 0.8724,                0.92769,                0.69599,                0.77764,                0.75867,                0.79413,                0.46403,                0.83275,                 1.0513,                0.47988,                0.83606,              0.0002674,              0.0002674,              0.0002674
                     76,                0.65258,                0.80583,                0.37082,                0.83588,                0.87642,                0.89602,                0.93089,                0.69271,                0.79544,                 0.7407,                0.79952,                0.46651,                0.84468,                 1.0563,                0.47259,                0.83822,              0.0002575,              0.0002575,              0.0002575
                     77,                0.64952,                0.79033,                0.36822,                0.83566,                0.88929,                0.87819,                0.92608,                0.69437,                0.78142,                0.74314,                0.79139,                0.46718,                0.83876,                 1.0484,                 0.4678,                0.83792,              0.0002476,              0.0002476,              0.0002476
                     78,                0.64366,                0.79808,                0.36547,                0.83393,                0.88435,                0.89562,                0.93283,                0.69553,                0.77658,                0.74885,                0.78941,                0.46568,                0.83427,                 1.0435,                0.47822,                0.83602,              0.0002377,              0.0002377,              0.0002377
                     79,                0.64369,                0.79314,                0.36896,                0.83606,                 0.8823,                0.89353,                0.93031,                0.69527,                0.79242,                0.75338,                0.79474,                0.46749,                0.81709,                  1.054,                0.47217,                0.83523,              0.0002278,              0.0002278,              0.0002278
                     80,                0.64244,                0.81125,                0.35995,                0.83704,                0.89711,                0.88533,                0.93038,                0.69668,                0.77115,                0.76222,                0.79318,                0.46679,                0.82197,                 1.0308,                0.47348,                0.83739,              0.0002179,              0.0002179,              0.0002179
                     81,                 0.6389,                0.79301,                0.36051,                0.83095,                0.89606,                0.87902,                0.93075,                0.70101,                0.78892,                0.74175,                0.79283,                0.46563,                0.82455,                 1.0443,                0.47792,                0.83646,               0.000208,               0.000208,               0.000208
                     82,                0.64125,                0.78671,                 0.3613,                0.83494,                0.89974,                0.88003,                0.93124,                0.70364,                0.79465,                0.75187,                0.79656,                0.47167,                0.81441,                  1.013,                 0.4677,                0.83539,              0.0001981,              0.0001981,              0.0001981
                     83,                0.63525,                0.78606,                0.36115,                 0.8278,                0.90661,                0.87584,                0.92922,                0.70382,                0.79331,                0.74995,                0.79894,                0.47603,                0.81931,                  1.026,                0.46983,                0.83611,              0.0001882,              0.0001882,              0.0001882
                     84,                0.63121,                0.77487,                0.35964,                0.83211,                0.90312,                0.87961,                0.93135,                0.70247,                0.78952,                0.75114,                0.79754,                0.47524,                 0.8219,                 1.0415,                0.47247,                0.83484,              0.0001783,              0.0001783,              0.0001783
                     85,                0.63045,                  0.774,                0.35582,                0.83137,                0.89766,                0.88269,                0.93052,                0.70193,                0.79311,                0.74894,                0.79778,                0.47403,                0.80758,                 1.0392,                0.46699,                0.83347,              0.0001684,              0.0001684,              0.0001684
                     86,                0.62764,                0.76414,                 0.3562,                0.83254,                0.90538,                0.87413,                0.92968,                0.70293,                0.79606,                0.75767,                0.80448,                0.47935,                0.81006,                 1.0484,                0.47033,                0.83543,              0.0001585,              0.0001585,              0.0001585
                     87,                0.63094,                0.78457,                0.35682,                0.82808,                0.90123,                0.87814,                0.92917,                0.70337,                0.79036,                0.75594,                0.80052,                0.47772,                 0.8119,                 1.0428,                0.46457,                0.83407,              0.0001486,              0.0001486,              0.0001486
                     88,                0.62149,                0.78716,                0.34895,                0.82969,                0.90511,                0.88033,                0.93235,                0.70342,                0.80291,                0.76097,                0.80395,                0.48007,                0.80575,                 1.0503,                0.47141,                  0.835,              0.0001387,              0.0001387,              0.0001387
                     89,                0.61871,                0.77271,                0.34713,                0.82653,                0.89502,                0.88993,                0.93403,                0.70373,                0.80135,                0.74585,                0.79956,                0.47763,                0.80791,                 1.0344,                0.46859,                0.83389,              0.0001288,              0.0001288,              0.0001288
                     90,                0.61158,                0.77084,                   0.34,                0.82991,                0.90035,                0.87943,                0.93284,                0.70439,                0.79887,                0.74804,                0.79752,                0.47209,                  0.806,                  1.039,                0.46863,                0.83309,              0.0001189,              0.0001189,              0.0001189
                     91,                0.62362,                0.79009,                0.35373,                0.83318,                0.90377,                 0.8756,                0.92905,                0.70027,                 0.7916,                 0.7487,                0.79575,                0.46906,                0.81415,                 1.0569,                0.47314,                0.83363,               0.000109,               0.000109,               0.000109
                     92,                0.62802,                0.79456,                0.35236,                0.83288,                0.89974,                0.87134,                0.92854,                0.70262,                0.77812,                0.75252,                0.79238,                0.46576,                 0.8102,                 1.0482,                 0.4694,                0.83272,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.61388,                0.77775,                0.34962,                0.82869,                0.90322,                0.86979,                0.92775,                0.70047,                0.78763,                0.74081,                0.79235,                0.46758,                0.80735,                 1.0365,                0.46134,                0.83271,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.61452,                0.78071,                0.34734,                 0.8305,                  0.902,                0.87236,                0.92822,                0.70455,                0.78421,                0.75291,                0.79872,                0.47371,                 0.8045,                 1.0376,                0.46174,                0.83324,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.61151,                0.77659,                0.34461,                  0.829,                0.90487,                0.86898,                0.93001,                0.70514,                0.81119,                0.72381,                0.79819,                0.47231,                0.80346,                 1.0245,                0.45687,                0.83308,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.61287,                0.77452,                0.34312,                0.82822,                0.90445,                0.87667,                0.93049,                0.70439,                0.79547,                 0.7488,                0.80158,                0.47861,                0.79795,                 1.0119,                0.45969,                0.83278,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.60292,                0.76128,                0.34202,                0.83208,                 0.9086,                0.87391,                0.93124,                 0.7074,                 0.8005,                0.74867,                 0.8041,                0.47804,                0.79491,                 1.0307,                0.45981,                 0.8329,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.60377,                0.75906,                0.34024,                0.82769,                0.90751,                0.87638,                0.93187,                0.70776,                0.79309,                0.75266,                0.80147,                0.47924,                0.79561,                 1.0284,                0.46063,                0.83228,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 0.6031,                0.77538,                0.33922,                0.82776,                0.90281,                0.87375,                0.93197,                0.70708,                0.78425,                 0.7389,                0.79256,                0.47314,                0.79692,                 1.0331,                0.45649,                0.83226,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.59938,                0.77555,                0.33942,                0.82729,                0.90457,                0.87296,                0.93145,                0.70786,                0.78829,                0.74374,                0.79722,                0.47418,                0.79405,                  1.029,                0.45503,                0.83239,               1.99e-05,               1.99e-05,               1.99e-05
